,TIME,DATASET,FEAT1,ENTITY,NDSIG1,NDSIG2,NDNON1,NDNON2,CHIFEAT,CATSIG1,CATNON2,CATDICHO,BATCH1,BATCH2,LONG1,NAN1
1_0,0,1,658,1,11.011468329973482,12.558570718962397,9.66782672720825,26.718078949500732,4.306699702553764,a,3,1,18.94019597265538,20.496291268176243,12.006220202829123,
1_2,2,1,543,1,10.962826971728601,9.385049783524424,8.928368543936285,28.082091822051602,1.4488866929277102,b,2,2,23.084741515593972,19.197573854014543,11.73724244472686,
1_4,4,1,520,1,5.848931747241428,12.239155731573874,9.88882073953606,23.126320338348993,4.488517512541335,b,3,1,20.105038809943597,20.14285908138316,15.1435286656061,
1_6,6,1,563,1,6.226328797823429,10.424293605405696,9.00836080918446,19.56732155103182,2.217570867174091,b,2,1,18.95841769113637,19.911081468515434,16.28586204738177,
1_8,8,1,389,1,7.217990056269688,12.511184518171508,10.477780968290904,27.503524017486452,3.4446708275285265,b,3,2,21.904401532246503,18.63001161576223,17.021575118795734,
1_10,10,1,371,1,8.309121856547332,7.685481222249209,9.057778282270906,16.862431298592774,1.7243536314732646,b,1,2,23.961161535941844,20.698374858829833,20.71911766811704,
2_0,0,1,500,2,8.866330749149956,13.544044912092913,10.705603786165982,19.690834457674107,0.3762956161418294,b,2,1,22.30458399343913,17.75905250627111,7.079383033818095,
2_2,2,1,419,2,12.119410526772098,8.065863603018501,11.268401161586777,22.222271700773693,0.5231059099435714,a,3,2,21.884522309163177,18.46150283834346,12.132528133931316,
2_4,4,1,431,2,12.100397418780265,7.282973876687228,10.780238202742957,25.173125006398678,0.26332728276723427,b,2,2,18.977398020079058,22.205709721858195,14.506498252796144,
2_6,6,1,285,2,8.223755323631083,13.712827485649397,8.984823126236368,21.49336999882127,4.2201114327144404,a,3,2,18.858680050279997,21.149281716308398,16.752246420935087,
2_8,8,1,270,2,11.754654125819865,9.092720261215192,9.895436747050532,24.0325785147646,0.24333745865929926,c,2,2,20.541649878082232,21.654446558362647,21.90630377984549,
2_10,10,1,223,2,7.0318819691058785,12.248585053297449,11.085271959449141,21.014365617174366,0.6649614170173084,b,3,2,19.600220207234887,20.82141316108256,26.13382047788897,
3_0,0,1,432,3,12.815281348288474,10.162150159489235,10.204547096140644,22.07374587354125,0.9726386606077748,b,2,1,20.053985346709364,20.045106312548988,9.507746100387061,
3_2,2,1,586,3,13.49777006095464,12.829792453834186,10.710466728387534,18.685987977110134,0.9219307708694697,a,3,2,19.521815563203763,19.949301611752915,8.928104066564888,
3_4,4,1,448,3,7.950155753303983,13.502959523420753,10.28025918542969,22.19797439699977,0.7197926659972038,c,2,1,18.976568605026095,19.47201160757266,14.532867566546917,
3_6,6,1,418,3,11.385301095983506,8.615705059478456,10.77142771149493,20.278300351748463,2.7181184695544385,b,1,2,18.61213613709485,19.51737292800493,19.963722137054486,
3_8,8,1,380,3,14.359742256860441,7.809825975303754,7.954509360501813,21.405415270763324,0.6908630838445273,b,1,1,21.04493839498524,19.562861327253373,18.2292445419006,
3_10,10,1,381,3,6.6410737924682435,11.704645562142074,10.739746182733064,19.358040799324954,10.258020570698962,b,1,1,17.34289634032919,19.733379153451295,20.202582759846887,
4_0,0,1,540,4,13.247486031106105,10.214058462873234,9.237953384442012,18.091660108333375,0.8906640284725003,b,1,1,16.852478290140258,20.884662000369474,7.945027443206676,
4_2,2,1,545,4,6.731067664512834,7.933343452149737,9.91547997810161,25.893221886379628,0.09583134861730065,b,1,1,19.843067798225995,21.022734478378293,13.792475800199748,
4_4,4,1,422,4,4.341100749249201,13.562342410943025,12.224986644436111,25.221859823945046,0.57667697341761,b,2,1,20.762533954451605,19.6470779389508,14.701375993979052,
4_6,6,1,334,4,5.519027957747793,7.808126576661646,8.554297198272227,19.62197481951213,7.364915643340126,c,3,2,20.363384029846834,19.49380467557389,19.053149338812517,
4_8,8,1,381,4,7.853057132566856,11.216303393141983,11.075557502548191,23.22021018905741,1.0535582767008302,a,2,2,16.91309282073583,20.54947854901135,20.70999122307742,
4_10,10,1,396,4,11.325151914820662,9.868940647158032,11.018732364493282,19.91553248658082,0.0007769197266746436,b,2,2,19.72792409736843,21.046087072957768,23.568391580435257,
5_0,0,1,476,5,13.590486902901922,6.125254021881519,9.411941242964987,15.445137203280384,1.6670463752954514,b,2,1,18.756583577496873,21.07586739057074,11.26301703081936,
5_2,2,1,484,5,10.409888135271604,14.323735920174165,8.756994559083388,19.927838337447117,3.144363233031419,b,1,1,17.887626477382618,21.161200818133914,10.865587221259954,
5_4,4,1,349,5,5.588964581925776,5.916275374748549,8.571340828006766,17.810437440295274,2.3995224356649807,c,1,2,19.43995077036633,21.33422397276753,16.398589904881906,
5_6,6,1,301,5,10.83518032455861,12.008734916603384,9.695837755883126,21.79119047901514,0.4697489474701974,a,3,1,26.946376870791365,21.668829733376132,16.538869767503005,
5_8,8,1,181,5,9.149515483686582,10.787085531697233,8.67658663821502,17.556896297282766,0.09962011994736326,b,3,1,19.527848466070576,19.3171012899473,19.173861355117197,
5_10,10,1,320,5,13.739261849354659,12.083969963802284,9.115959630888014,23.84819614994329,1.008325110965151,b,2,2,20.21909372224902,22.049068664066613,22.870239443417127,
6_0,0,1,486,6,10.251115715710979,9.662371405270227,10.67707755977058,14.595673921588055,0.5295168244324479,b,3,2,20.002553225787814,20.761481132945228,8.553026387308336,
6_2,2,1,443,6,9.885035347521193,10.251635636320659,9.546920190795138,21.856604814398082,3.628101233116939,b,3,2,20.712981829759112,20.691579945629165,11.330678560714045,
6_4,4,1,482,6,2.3393107306560035,11.046517881906539,10.123427560334099,14.887879988151244,3.3477889743797613,b,2,2,17.342340561528584,20.41161739851597,14.898251393760347,
6_6,6,1,470,6,14.475708698373543,13.678569994244516,9.061839019825232,17.58712704442029,0.14937534554152637,b,3,2,21.553179181811636,21.19856119321111,15.075271305252492,
6_8,8,1,452,6,11.877982890807044,5.28600035908986,11.30321777131772,24.46281604879989,7.673715704299325,b,2,1,17.56020112388387,21.120183873086784,19.827131529766223,
6_10,10,1,278,6,12.63216188827475,13.904687646970967,11.129380085641602,22.549388297755872,4.901613262082637,b,3,1,17.907952282625182,20.251666963433273,21.47498043638429,
7_0,0,1,334,7,8.903298007561293,8.148259997790971,11.291966662015145,13.360559496401475,0.35755901157421893,b,1,1,17.707503351161687,19.63201187234934,14.320921751852048,
7_2,2,1,311,7,8.419078884232256,5.014761013135894,10.787051686348287,14.127062924572503,1.300114867032397,a,2,1,19.46669177443025,19.320849715534585,10.989009320624257,
7_4,4,1,388,7,8.22684596080974,9.152963741235943,10.60807217349624,23.02676140656423,0.8296234123985535,c,3,1,20.67816932891694,19.110072618485272,15.902543958326843,
7_6,6,1,316,7,10.549249283092495,10.239780087702432,8.078403530994839,15.99551694798111,0.36727547241464076,c,2,1,22.037023569251836,20.08845051529078,15.728908950442248,
7_8,8,1,190,7,8.069411825971422,14.261997004577154,10.390282897494274,9.733600183694712,0.07989515677095853,b,1,1,17.378858942428955,20.20334460322787,20.0117345589161,
7_10,10,1,79,7,10.293111856785028,10.909236544269916,8.923154762220433,19.34211865083237,0.5516602114482249,b,3,1,20.22053436329064,20.12917772755649,23.217261349522747,
8_0,0,1,652,8,10.628344393492332,10.210356168359654,11.430478609267343,21.793597922400906,0.20212786083884582,a,3,2,20.830468022912598,18.788365416417502,9.428930857437475,
8_2,2,1,462,8,9.831134498513537,6.86430893132338,10.18817144798673,21.886185757573614,2.494794519577905,b,3,2,16.04509160215455,19.88860958758937,10.925995635432024,
8_4,4,1,573,8,9.325760676435236,8.189925693024776,9.973468098585203,19.897693983473406,0.08910358439320526,b,1,2,19.851623892312066,18.830414540070922,15.240662493531431,
8_6,6,1,466,8,10.16215158761186,9.528564503435272,8.550877986811745,22.434596486855416,0.7777597383171658,b,2,1,16.97800267344524,19.670176514413086,17.025050002857544,
8_8,8,1,323,8,11.442881600263272,11.932385109457352,11.389957323014801,20.140694706223115,0.7092975833873223,b,1,2,20.57696152479171,20.31270068898888,20.23189811155449,
