,TIME,DATASET,FEAT1,ENTITY,NDSIG1,NDSIG2,NDNON1,NDNON2,CHIFEAT,CATSIG1,CATNON2,BATCH1,BATCH2,LONG1
1_0,0,1,658,1,12.441774297388202,10.236284685160848,9.47606422683916,17.892294535530034,1.2947114348458617,b,2,19.962547638675797,19.774541089205883,9.244095232695978
1_2,2,1,543,1,10.250726734574904,12.446808161518865,12.207192215053905,20.135977238721914,0.5162615183088478,a,2,19.83611816099892,21.118032195065176,10.088124011864972
1_4,4,1,520,1,8.022590966948767,6.6049499254950135,10.456204251279791,26.74341351608738,0.23168731334959877,a,3,18.466028722176706,18.95068705605224,15.076548048185883
1_6,6,1,563,1,6.72033360417661,7.713517983569286,10.482056109344104,17.53240099695131,3.0037870254163974,b,1,17.851327511821957,19.52193891423462,18.959528149341242
1_8,8,1,389,1,14.582794359718088,9.104352411344044,10.664228278160612,25.365963133930908,1.069971396001808,a,1,20.526360987292545,20.696594228207356,19.17547742937718
1_10,10,1,371,1,6.734580422201116,6.118417634492583,9.036823635241674,27.776500456690428,2.2882572325671835,b,3,20.757215321450776,19.450429244308083,25.12191576966109
2_0,0,1,500,2,11.009014477438596,13.408898568523803,10.349559371864661,24.899667406576775,1.7630218224794498,b,2,23.351921407344463,20.884967970302696,7.040759400273243
2_2,2,1,419,2,8.072676101852181,13.36394030584544,11.08754039452036,26.038448461613164,0.7525047703284069,b,2,20.895221529212467,21.411699166980426,13.44087424524552
2_4,4,1,431,2,7.865205957032029,11.404251254355756,10.780545729699796,20.94066163355451,1.6655200294369086,b,1,22.800936354098276,18.76692974126759,14.287249255299159
2_6,6,1,285,2,6.795747495015791,8.339809769452762,11.27046548486387,19.437340042347973,6.200680918492533,b,1,19.222769128729134,20.88596358120645,19.72276865906614
2_8,8,1,270,2,9.67164816256038,10.81367973061087,10.949152340045815,24.257678552055186,1.7544150419957694,b,2,22.152076062830346,20.477213953619028,18.174029986167834
2_10,10,1,223,2,10.53158597618633,8.251558338978828,8.235898581140448,23.60302685768979,2.09037382828902,b,1,20.801191955404466,19.56580425286003,20.736805577752246
3_0,0,1,432,3,14.108151836507988,7.678528399844376,8.74319889964572,27.160049008755358,0.18135295279952918,b,3,20.069586616186815,19.81187907138818,11.539399675323587
3_2,2,1,586,3,8.80192174475652,9.623870897824453,9.516109519459857,17.064057258601547,0.11924087988661065,b,1,20.19350101520106,19.645046096046293,10.840304136174915
3_4,4,1,448,3,6.580560981724477,13.282976437730277,11.225612806149327,22.47976730371,0.8450581503815243,a,3,24.2718603279963,18.678196577548967,15.328651485189827
3_6,6,1,418,3,9.630165032599368,8.70005988818073,9.586189971817657,16.833940442017422,1.1128112303282527,b,3,20.53918340622113,18.9315718887289,16.69262831928459
3_8,8,1,380,3,10.748752627348072,10.568668900673606,8.798409439870339,20.96794547871428,1.6654716864681645,b,1,19.440633947677203,19.1277112425957,18.0910574903525
3_10,10,1,381,3,9.678919840924781,17.488847784190718,8.882423567797213,19.90231103314117,0.1524041874151778,b,3,20.466221856410474,20.84847427274522,23.0040303958628
4_0,0,1,540,4,7.16014533763403,8.857924870226121,8.285321783875801,22.37847006580751,1.7224236649509186,b,2,16.773215520363113,18.609524150324248,12.225886299013913
